Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
6.250000000000000000e+00,5.924000000000000000e+05,1.010000000000000000e+06
6.750000000000000000e+00,1.286000000000000000e+05,6.708000000000000000e+05
7.250000000000000000e+00,-9.777000000000000000e+05,4.383000000000000000e+05
7.750000000000000000e+00,7.430000000000000000e+05,8.128000000000000000e+05
8.250000000000000000e+00,-1.048000000000000000e+05,6.850000000000000000e+05
8.750000000000000000e+00,1.361000000000000000e+06,9.339000000000000000e+05
9.250000000000000000e+00,1.286000000000000000e+06,9.377000000000000000e+05
9.750000000000000000e+00,3.267000000000000000e+06,1.189000000000000000e+06
1.025000000000000000e+01,9.616000000000000000e+06,1.753000000000000000e+06
1.075000000000000000e+01,1.160000000000000000e+07,1.900000000000000000e+06
1.125000000000000000e+01,1.101000000000000000e+07,1.867000000000000000e+06
1.175000000000000000e+01,1.454000000000000000e+07,2.102000000000000000e+06
1.225000000000000000e+01,9.584000000000000000e+06,1.781000000000000000e+06
1.275000000000000000e+01,5.917000000000000000e+06,1.502000000000000000e+06
1.325000000000000000e+01,7.131000000000000000e+06,1.611000000000000000e+06
1.375000000000000000e+01,1.153000000000000000e+06,1.042000000000000000e+06
1.425000000000000000e+01,4.423000000000000000e+06,1.397000000000000000e+06
1.475000000000000000e+01,3.070000000000000000e+06,1.278000000000000000e+06
1.525000000000000000e+01,2.231000000000000000e+06,1.202000000000000000e+06
1.575000000000000000e+01,1.649000000000000000e+06,1.150000000000000000e+06
1.625000000000000000e+01,-7.302000000000000000e+05,8.589000000000000000e+05
1.675000000000000000e+01,7.443000000000000000e+05,1.070000000000000000e+06
1.725000000000000000e+01,-9.303000000000000000e+04,9.779000000000000000e+05
1.775000000000000000e+01,6.114000000000000000e+05,1.079000000000000000e+06
1.825000000000000000e+01,-9.962000000000000000e+05,8.830000000000000000e+05
1.875000000000000000e+01,2.227000000000000000e+05,1.059000000000000000e+06
1.925000000000000000e+01,-5.021000000000000000e+05,9.306000000000000000e+05
