Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
7.849999999999999645e+00,1.752000000000000000e+07,3.282000000000000000e+07
7.950000000000000178e+00,4.217000000000000000e+07,3.062000000000000000e+07
8.050000000000000711e+00,8.395000000000000000e+07,3.034000000000000000e+07
8.150000000000000355e+00,8.921000000000000000e+07,3.074000000000000000e+07
8.250000000000000000e+00,2.496000000000000000e+07,2.697000000000000000e+07
8.349999999999999645e+00,1.276000000000000000e+08,3.302000000000000000e+07
8.449999999999999289e+00,3.554000000000000000e+07,2.786000000000000000e+07
8.550000000000000711e+00,1.312000000000000000e+08,3.339000000000000000e+07
8.650000000000000355e+00,2.178000000000000000e+07,2.722000000000000000e+07
8.750000000000000000e+00,9.662000000000000000e+07,3.173000000000000000e+07
8.849999999999999645e+00,9.844000000000000000e+07,3.192000000000000000e+07
8.949999999999999289e+00,7.593000000000000000e+07,3.077000000000000000e+07
9.050000000000000711e+00,3.607000000000000000e+07,2.854000000000000000e+07
9.150000000000000355e+00,7.268000000000000000e+07,3.078000000000000000e+07
9.250000000000000000e+00,3.627000000000000000e+07,2.876000000000000000e+07
9.349999999999999645e+00,6.941000000000000000e+07,3.079000000000000000e+07
9.449999999999999289e+00,1.269000000000000000e+08,3.397000000000000000e+07
9.550000000000000711e+00,7.658000000000000000e+07,3.138000000000000000e+07
9.650000000000000355e+00,2.629000000000000000e+07,2.857000000000000000e+07
9.750000000000000000e+00,8.376000000000000000e+07,3.197000000000000000e+07
9.849999999999999645e+00,8.215000000000000000e+07,3.197000000000000000e+07
9.949999999999999289e+00,5.619000000000000000e+07,3.062000000000000000e+07
1.005000000000000071e+01,5.458000000000000000e+07,3.063000000000000000e+07
1.015000000000000036e+01,7.730000000000000000e+07,3.198000000000000000e+07
1.025000000000000000e+01,6.874000000000000000e+07,3.161000000000000000e+07
1.034999999999999964e+01,7.410000000000000000e+07,3.199000000000000000e+07
1.044999999999999929e+01,1.038000000000000000e+08,3.366000000000000000e+07
1.055000000000000071e+01,1.404000000000000000e+08,3.558000000000000000e+07
1.065000000000000036e+01,2.083000000000000000e+08,3.883000000000000000e+07
1.075000000000000000e+01,2.137000000000000000e+08,3.915000000000000000e+07
1.084999999999999964e+01,2.608000000000000000e+08,4.125000000000000000e+07
1.094999999999999929e+01,1.584000000000000000e+08,3.677000000000000000e+07
1.105000000000000071e+01,2.159000000000000000e+08,3.947000000000000000e+07
1.115000000000000036e+01,2.456000000000000000e+08,4.082000000000000000e+07
1.125000000000000000e+01,2.301000000000000000e+08,4.023000000000000000e+07
1.134999999999999964e+01,1.555000000000000000e+08,3.695000000000000000e+07
1.144999999999999929e+01,1.053000000000000000e+08,3.459000000000000000e+07
1.155000000000000071e+01,6.202000000000000000e+07,3.243000000000000000e+07
1.165000000000000036e+01,6.044000000000000000e+07,3.243000000000000000e+07
1.175000000000000000e+01,9.364000000000000000e+07,3.425000000000000000e+07
1.184999999999999964e+01,2.255000000000000000e+07,3.052000000000000000e+07
1.194999999999999929e+01,-2.767000000000000000e+07,2.762000000000000000e+07
1.205000000000000071e+01,3.682000000000000000e+07,3.151000000000000000e+07
1.215000000000000036e+01,2.483000000000000000e+07,3.093000000000000000e+07
1.225000000000000000e+01,4.066000000000000000e+07,3.190000000000000000e+07
1.234999999999999964e+01,7.820000000000000000e+06,3.015000000000000000e+07
