Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.750000000000000000e+00,2.227000000000000000e+07,3.124000000000000000e+07
4.849999999999999645e+00,-8.004000000000000000e+06,2.104000000000000000e+07
4.950000000000000178e+00,6.680000000000000000e+06,1.517000000000000000e+07
5.049999999999999822e+00,3.680000000000000000e+06,1.142000000000000000e+07
5.150000000000000355e+00,3.765000000000000000e+07,2.275000000000000000e+07
5.250000000000000000e+00,4.629000000000000000e+07,2.159000000000000000e+07
5.349999999999999645e+00,8.486000000000000000e+07,2.517000000000000000e+07
5.450000000000000178e+00,7.083000000000000000e+07,2.316000000000000000e+07
5.549999999999999822e+00,7.772000000000000000e+07,2.418000000000000000e+07
5.650000000000000355e+00,1.195000000000000000e+08,2.961000000000000000e+07
5.750000000000000000e+00,1.055000000000000000e+08,2.792000000000000000e+07
5.849999999999999645e+00,1.124000000000000000e+08,2.878000000000000000e+07
5.950000000000000178e+00,1.332000000000000000e+08,3.122000000000000000e+07
6.049999999999999822e+00,2.378000000000000000e+08,4.129000000000000000e+07
6.150000000000000355e+00,1.749000000000000000e+08,3.559000000000000000e+07
6.250000000000000000e+00,1.609000000000000000e+08,3.419000000000000000e+07
6.349999999999999645e+00,1.817000000000000000e+08,3.627000000000000000e+07
6.450000000000000178e+00,1.189000000000000000e+08,2.962000000000000000e+07
6.549999999999999822e+00,1.607000000000000000e+08,3.419000000000000000e+07
6.650000000000000355e+00,1.466000000000000000e+08,3.274000000000000000e+07
6.750000000000000000e+00,1.465000000000000000e+08,3.274000000000000000e+07
6.849999999999999645e+00,2.232000000000000000e+08,4.009000000000000000e+07
6.950000000000000178e+00,2.231000000000000000e+08,4.009000000000000000e+07
7.049999999999999822e+00,2.021000000000000000e+08,3.823000000000000000e+07
7.150000000000000355e+00,1.602000000000000000e+08,3.420000000000000000e+07
7.250000000000000000e+00,1.252000000000000000e+08,3.043000000000000000e+07
7.349999999999999645e+00,2.019000000000000000e+08,3.823000000000000000e+07
7.450000000000000178e+00,1.948000000000000000e+08,3.759000000000000000e+07
7.549999999999999822e+00,1.529000000000000000e+08,3.348000000000000000e+07
7.650000000000000355e+00,1.738000000000000000e+08,3.559000000000000000e+07
7.750000000000000000e+00,1.876000000000000000e+08,3.694000000000000000e+07
7.849999999999999645e+00,1.248000000000000000e+08,3.043000000000000000e+07
7.950000000000000178e+00,1.875000000000000000e+08,3.694000000000000000e+07
8.050000000000000711e+00,2.223000000000000000e+08,4.010000000000000000e+07
8.150000000000000355e+00,1.385000000000000000e+08,3.199000000000000000e+07
8.250000000000000000e+00,1.314000000000000000e+08,3.122000000000000000e+07
8.349999999999999645e+00,1.593000000000000000e+08,3.420000000000000000e+07
8.449999999999999289e+00,1.801000000000000000e+08,3.627000000000000000e+07
8.550000000000000711e+00,9.633000000000000000e+07,2.705000000000000000e+07
8.650000000000000355e+00,1.102000000000000000e+08,2.879000000000000000e+07
8.750000000000000000e+00,1.241000000000000000e+08,3.044000000000000000e+07
8.849999999999999645e+00,8.215000000000000000e+07,2.519000000000000000e+07
8.949999999999999289e+00,7.510000000000000000e+07,2.420000000000000000e+07
9.050000000000000711e+00,6.805000000000000000e+07,2.317000000000000000e+07
9.150000000000000355e+00,8.891000000000000000e+07,2.614000000000000000e+07
9.250000000000000000e+00,1.586000000000000000e+08,3.420000000000000000e+07
9.349999999999999645e+00,1.167000000000000000e+08,2.963000000000000000e+07
9.449999999999999289e+00,2.143000000000000000e+08,3.949000000000000000e+07
