Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.450000000000000178e+00,1.903000000000000000e+09,1.486000000000000000e+08
4.549999999999999822e+00,1.809000000000000000e+09,1.263000000000000000e+08
4.650000000000000355e+00,2.324000000000000000e+09,1.238000000000000000e+08
4.750000000000000000e+00,2.360000000000000000e+09,1.107000000000000000e+08
4.849999999999999645e+00,2.385000000000000000e+09,1.113000000000000000e+08
4.950000000000000178e+00,2.281000000000000000e+09,1.094000000000000000e+08
5.049999999999999822e+00,2.262000000000000000e+09,1.091000000000000000e+08
5.150000000000000355e+00,2.345000000000000000e+09,1.109000000000000000e+08
5.250000000000000000e+00,2.272000000000000000e+09,1.096000000000000000e+08
5.349999999999999645e+00,2.293000000000000000e+09,1.101000000000000000e+08
5.450000000000000178e+00,2.087000000000000000e+09,1.060000000000000000e+08
5.549999999999999822e+00,1.894000000000000000e+09,1.020000000000000000e+08
5.650000000000000355e+00,1.825000000000000000e+09,1.006000000000000000e+08
5.750000000000000000e+00,1.766000000000000000e+09,9.944000000000000000e+07
5.849999999999999645e+00,1.551000000000000000e+09,9.464000000000000000e+07
5.950000000000000178e+00,1.501000000000000000e+09,9.359000000000000000e+07
6.049999999999999822e+00,1.272000000000000000e+09,8.815000000000000000e+07
6.150000000000000355e+00,9.946000000000000000e+08,8.100000000000000000e+07
6.250000000000000000e+00,1.020000000000000000e+09,8.186000000000000000e+07
6.349999999999999645e+00,7.871000000000000000e+08,7.544000000000000000e+07
6.450000000000000178e+00,7.547000000000000000e+08,7.465000000000000000e+07
6.549999999999999822e+00,7.624000000000000000e+08,7.505000000000000000e+07
6.650000000000000355e+00,6.097000000000000000e+08,7.057000000000000000e+07
6.750000000000000000e+00,5.239000000000000000e+08,6.800000000000000000e+07
6.849999999999999645e+00,4.648000000000000000e+08,6.624000000000000000e+07
6.950000000000000178e+00,4.190000000000000000e+08,6.488000000000000000e+07
7.049999999999999822e+00,3.688000000000000000e+08,6.334000000000000000e+07
7.150000000000000355e+00,4.077000000000000000e+08,6.490000000000000000e+07
7.250000000000000000e+00,3.664000000000000000e+08,6.367000000000000000e+07
7.349999999999999645e+00,3.073000000000000000e+08,6.178000000000000000e+07
7.450000000000000178e+00,2.393000000000000000e+08,5.950000000000000000e+07
7.549999999999999822e+00,2.471000000000000000e+08,6.001000000000000000e+07
7.650000000000000355e+00,1.346000000000000000e+08,5.592000000000000000e+07
7.750000000000000000e+00,1.691000000000000000e+08,5.750000000000000000e+07
7.849999999999999645e+00,2.258000000000000000e+08,5.987000000000000000e+07
7.950000000000000178e+00,2.068000000000000000e+08,5.938000000000000000e+07
8.050000000000000711e+00,5.873000000000000000e+07,5.379000000000000000e+07
8.150000000000000355e+00,8.431000000000000000e+07,5.507000000000000000e+07
8.250000000000000000e+00,6.094000000000000000e+07,5.436000000000000000e+07
8.349999999999999645e+00,1.979000000000000000e+08,5.992000000000000000e+07
8.449999999999999289e+00,9.017000000000000000e+05,5.234000000000000000e+07
8.550000000000000711e+00,7.997000000000000000e+07,5.583000000000000000e+07
8.650000000000000355e+00,1.546000000000000000e+08,5.895000000000000000e+07
8.750000000000000000e+00,1.714000000000000000e+08,5.979000000000000000e+07
8.849999999999999645e+00,7.683000000000000000e+07,5.639000000000000000e+07
8.949999999999999289e+00,1.337000000000000000e+08,5.881000000000000000e+07
9.050000000000000711e+00,1.416000000000000000e+08,5.932000000000000000e+07
9.150000000000000355e+00,8.279000000000000000e+07,5.729000000000000000e+07
9.250000000000000000e+00,2.386000000000000000e+07,5.519000000000000000e+07
9.349999999999999645e+00,5.408000000000000000e+07,5.662000000000000000e+07
9.449999999999999289e+00,-4.812000000000000000e+06,5.449000000000000000e+07
9.550000000000000711e+00,-5.923000000000000000e+07,5.246000000000000000e+07
9.650000000000000355e+00,4.668000000000000000e+07,5.700000000000000000e+07
9.750000000000000000e+00,-3.288000000000000000e+06,5.524000000000000000e+07
9.849999999999999645e+00,-1.758000000000000000e+07,5.490000000000000000e+07
9.949999999999999289e+00,9.723000000000000000e+07,5.958000000000000000e+07
1.005000000000000071e+01,1.542000000000000000e+08,6.188000000000000000e+07
1.015000000000000036e+01,8.642000000000000000e+07,5.960000000000000000e+07
1.025000000000000000e+01,4.989000000000000000e+07,5.844000000000000000e+07
1.034999999999999964e+01,8.905000000000000000e+07,6.012000000000000000e+07
1.044999999999999929e+01,7.475000000000000000e+07,5.980000000000000000e+07
1.055000000000000071e+01,2.164000000000000000e+08,6.505000000000000000e+07
1.065000000000000036e+01,1.932000000000000000e+08,6.445000000000000000e+07
1.075000000000000000e+01,3.198000000000000000e+07,5.883000000000000000e+07
1.084999999999999964e+01,1.869000000000000000e+08,6.462000000000000000e+07
1.094999999999999929e+01,1.593000000000000000e+08,6.386000000000000000e+07
1.105000000000000071e+01,2.564000000000000000e+08,6.735000000000000000e+07
1.115000000000000036e+01,2.511000000000000000e+08,6.736000000000000000e+07
1.125000000000000000e+01,2.369000000000000000e+08,6.707000000000000000e+07
1.134999999999999964e+01,1.336000000000000000e+08,6.375000000000000000e+07
1.144999999999999929e+01,2.146000000000000000e+07,5.991000000000000000e+07
1.155000000000000071e+01,2.507000000000000000e+07,6.026000000000000000e+07
1.165000000000000036e+01,4.202000000000000000e+07,6.108000000000000000e+07
1.175000000000000000e+01,1.258000000000000000e+08,6.426000000000000000e+07
1.184999999999999964e+01,-1.752000000000000000e+07,5.930000000000000000e+07
1.194999999999999929e+01,3.948000000000000000e+06,6.030000000000000000e+07
1.205000000000000071e+01,1.202000000000000000e+07,6.080000000000000000e+07
1.215000000000000036e+01,-3.331000000000000000e+07,5.933000000000000000e+07
1.225000000000000000e+01,-1.631000000000000000e+07,6.017000000000000000e+07
1.234999999999999964e+01,1.850000000000000000e+07,6.165000000000000000e+07
1.244999999999999929e+01,-9.000000000000000000e+06,6.085000000000000000e+07
1.255000000000000071e+01,1.282000000000000000e+08,6.587000000000000000e+07
1.265000000000000036e+01,-8.627000000000000000e+07,5.838000000000000000e+07
1.275000000000000000e+01,-6.035000000000000000e+07,5.957000000000000000e+07
1.284999999999999964e+01,5.648000000000000000e+06,6.219000000000000000e+07
1.294999999999999929e+01,-8.417000000000000000e+07,5.909000000000000000e+07
1.305000000000000071e+01,3.976000000000000000e+07,6.379000000000000000e+07
1.315000000000000036e+01,1.726000000000000000e+08,6.845000000000000000e+07
1.325000000000000000e+01,3.379000000000000000e+07,6.396000000000000000e+07
1.334999999999999964e+01,-2.932000000000000000e+07,6.193000000000000000e+07
1.344999999999999929e+01,-9.686000000000000000e+07,5.966000000000000000e+07
1.355000000000000071e+01,-2.636000000000000000e+07,6.243000000000000000e+07
1.365000000000000036e+01,4.054000000000000000e+06,6.370000000000000000e+07
1.375000000000000000e+01,4.340000000000000000e+07,6.525000000000000000e+07
1.384999999999999964e+01,7.827000000000000000e+07,6.662000000000000000e+07
1.394999999999999929e+01,-1.597000000000000000e+07,6.358000000000000000e+07
1.405000000000000071e+01,-3.317000000000000000e+06,6.422000000000000000e+07
1.415000000000000036e+01,3.952000000000000000e+05,6.454000000000000000e+07
1.425000000000000000e+01,-4.039000000000000000e+07,6.331000000000000000e+07
1.434999999999999964e+01,2.568000000000000000e+07,6.578000000000000000e+07
1.444999999999999929e+01,-1.066000000000000000e+07,6.473000000000000000e+07
