Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
5.125000000000000000e+00,-7.442000000000000000e+05,8.368000000000000000e+06
5.174999999999999822e+00,-6.033000000000000000e+05,5.473000000000000000e+06
5.224999999999999645e+00,-5.295000000000000000e+05,3.816000000000000000e+06
5.275000000000000355e+00,-5.334000000000000000e+05,3.816000000000000000e+06
5.325000000000000178e+00,-4.107000000000000000e+05,2.779000000000000000e+06
5.375000000000000000e+00,-4.136000000000000000e+05,2.779000000000000000e+06
5.424999999999999822e+00,-4.164000000000000000e+05,2.779000000000000000e+06
5.474999999999999645e+00,-3.603000000000000000e+05,2.090000000000000000e+06
5.525000000000000355e+00,-3.628000000000000000e+05,2.090000000000000000e+06
5.575000000000000178e+00,-3.652000000000000000e+05,2.090000000000000000e+06
5.625000000000000000e+00,-3.071000000000000000e+05,1.611000000000000000e+06
5.674999999999999822e+00,-3.091000000000000000e+05,1.611000000000000000e+06
5.724999999999999645e+00,-3.112000000000000000e+05,1.611000000000000000e+06
5.775000000000000355e+00,-3.132000000000000000e+05,1.611000000000000000e+06
5.825000000000000178e+00,-3.153000000000000000e+05,1.611000000000000000e+06
5.875000000000000000e+00,-3.173000000000000000e+05,1.611000000000000000e+06
5.924999999999999822e+00,-3.193000000000000000e+05,1.611000000000000000e+06
5.974999999999999645e+00,-3.214000000000000000e+05,1.611000000000000000e+06
6.025000000000000355e+00,-3.234000000000000000e+05,1.611000000000000000e+06
6.075000000000000178e+00,1.284000000000000000e+06,1.611000000000000000e+06
6.125000000000000000e+00,1.282000000000000000e+06,1.611000000000000000e+06
6.174999999999999822e+00,-3.295000000000000000e+05,1.611000000000000000e+06
6.224999999999999645e+00,-3.315000000000000000e+05,1.611000000000000000e+06
6.275000000000000355e+00,-3.335000000000000000e+05,1.611000000000000000e+06
6.325000000000000178e+00,-3.354000000000000000e+05,1.611000000000000000e+06
6.375000000000000000e+00,-3.375000000000000000e+05,1.611000000000000000e+06
6.424999999999999822e+00,-3.394000000000000000e+05,1.611000000000000000e+06
6.474999999999999645e+00,-3.414000000000000000e+05,1.611000000000000000e+06
6.525000000000000355e+00,-3.434000000000000000e+05,1.611000000000000000e+06
6.575000000000000178e+00,-3.453000000000000000e+05,1.611000000000000000e+06
6.625000000000000000e+00,1.263000000000000000e+06,1.611000000000000000e+06
6.674999999999999822e+00,-3.492000000000000000e+05,1.611000000000000000e+06
6.724999999999999645e+00,-3.512000000000000000e+05,1.611000000000000000e+06
6.775000000000000355e+00,-3.532000000000000000e+05,1.611000000000000000e+06
6.825000000000000178e+00,-3.552000000000000000e+05,1.611000000000000000e+06
6.875000000000000000e+00,-3.571000000000000000e+05,1.611000000000000000e+06
6.924999999999999822e+00,-3.591000000000000000e+05,1.611000000000000000e+06
6.974999999999999645e+00,-3.611000000000000000e+05,1.611000000000000000e+06
7.025000000000000355e+00,2.857000000000000000e+06,2.278000000000000000e+06
7.075000000000000178e+00,1.245000000000000000e+06,1.612000000000000000e+06
7.125000000000000000e+00,-3.669000000000000000e+05,1.612000000000000000e+06
7.174999999999999822e+00,-3.689000000000000000e+05,1.612000000000000000e+06
7.224999999999999645e+00,-3.708000000000000000e+05,1.612000000000000000e+06
7.275000000000000355e+00,-3.727000000000000000e+05,1.612000000000000000e+06
7.325000000000000178e+00,2.845000000000000000e+06,2.278000000000000000e+06
7.375000000000000000e+00,-3.766000000000000000e+05,1.612000000000000000e+06
7.424999999999999822e+00,-3.786000000000000000e+05,1.612000000000000000e+06
7.474999999999999645e+00,-3.805000000000000000e+05,1.612000000000000000e+06
7.525000000000000355e+00,-3.825000000000000000e+05,1.612000000000000000e+06
7.575000000000000178e+00,-3.844000000000000000e+05,1.612000000000000000e+06
7.625000000000000000e+00,-3.864000000000000000e+05,1.612000000000000000e+06
7.674999999999999822e+00,-3.883000000000000000e+05,1.612000000000000000e+06
7.724999999999999645e+00,1.220000000000000000e+06,1.612000000000000000e+06
7.775000000000000355e+00,1.218000000000000000e+06,1.612000000000000000e+06
7.825000000000000178e+00,-3.941000000000000000e+05,1.612000000000000000e+06
7.875000000000000000e+00,-3.960000000000000000e+05,1.612000000000000000e+06
7.924999999999999822e+00,1.212000000000000000e+06,1.612000000000000000e+06
7.974999999999999645e+00,-3.998000000000000000e+05,1.612000000000000000e+06
8.025000000000000355e+00,1.208000000000000000e+06,1.612000000000000000e+06
8.074999999999999289e+00,-4.037000000000000000e+05,1.612000000000000000e+06
8.125000000000000000e+00,2.814000000000000000e+06,2.278000000000000000e+06
8.175000000000000711e+00,-4.075000000000000000e+05,1.612000000000000000e+06
8.224999999999999645e+00,-4.094000000000000000e+05,1.612000000000000000e+06
8.275000000000000355e+00,-4.113000000000000000e+05,1.612000000000000000e+06
8.324999999999999289e+00,-4.132000000000000000e+05,1.612000000000000000e+06
8.375000000000000000e+00,-4.151000000000000000e+05,1.612000000000000000e+06
8.425000000000000711e+00,-4.170000000000000000e+05,1.612000000000000000e+06
8.474999999999999645e+00,-4.189000000000000000e+05,1.612000000000000000e+06
8.525000000000000355e+00,-4.208000000000000000e+05,1.612000000000000000e+06
8.574999999999999289e+00,-4.227000000000000000e+05,1.612000000000000000e+06
8.625000000000000000e+00,-4.246000000000000000e+05,1.612000000000000000e+06
8.675000000000000711e+00,-4.265000000000000000e+05,1.612000000000000000e+06
8.724999999999999645e+00,-4.284000000000000000e+05,1.612000000000000000e+06
8.775000000000000355e+00,-4.302000000000000000e+05,1.612000000000000000e+06
8.824999999999999289e+00,-4.322000000000000000e+05,1.612000000000000000e+06
8.875000000000000000e+00,-4.340000000000000000e+05,1.612000000000000000e+06
