Energy after passing through hohlraum (MeV),Spectrum (MeV^-1),Uncertainty (MeV^-1)
4.775000000000000355e+00,-3.695000000000000000e+05,1.239000000000000000e+07
4.825000000000000178e+00,-3.611000000000000000e+05,6.897000000000000000e+06
4.875000000000000000e+00,-3.639000000000000000e+05,6.897000000000000000e+06
4.924999999999999822e+00,-3.004000000000000000e+05,4.290000000000000000e+06
4.974999999999999645e+00,-3.027000000000000000e+05,4.290000000000000000e+06
5.025000000000000355e+00,-3.051000000000000000e+05,4.290000000000000000e+06
5.075000000000000178e+00,-2.948000000000000000e+05,2.853000000000000000e+06
5.125000000000000000e+00,-2.971000000000000000e+05,2.853000000000000000e+06
5.174999999999999822e+00,-2.992000000000000000e+05,2.853000000000000000e+06
5.224999999999999645e+00,-2.157000000000000000e+05,1.990000000000000000e+06
5.275000000000000355e+00,1.771000000000000000e+06,1.990000000000000000e+06
5.325000000000000178e+00,1.770000000000000000e+06,1.990000000000000000e+06
5.375000000000000000e+00,1.768000000000000000e+06,1.990000000000000000e+06
5.424999999999999822e+00,-2.034000000000000000e+05,1.437000000000000000e+06
5.474999999999999645e+00,-2.049000000000000000e+05,1.437000000000000000e+06
5.525000000000000355e+00,-2.064000000000000000e+05,1.437000000000000000e+06
5.575000000000000178e+00,-2.078000000000000000e+05,1.437000000000000000e+06
5.625000000000000000e+00,-2.093000000000000000e+05,1.437000000000000000e+06
5.674999999999999822e+00,-2.108000000000000000e+05,1.437000000000000000e+06
5.724999999999999645e+00,8.556000000000000000e+05,1.043000000000000000e+06
5.775000000000000355e+00,-1.878000000000000000e+05,1.043000000000000000e+06
5.825000000000000178e+00,-1.891000000000000000e+05,1.043000000000000000e+06
5.875000000000000000e+00,-1.904000000000000000e+05,1.043000000000000000e+06
5.924999999999999822e+00,8.504000000000000000e+05,1.043000000000000000e+06
5.974999999999999645e+00,-1.930000000000000000e+05,1.043000000000000000e+06
6.025000000000000355e+00,-1.943000000000000000e+05,1.043000000000000000e+06
6.075000000000000178e+00,-1.956000000000000000e+05,1.043000000000000000e+06
6.125000000000000000e+00,-1.969000000000000000e+05,1.043000000000000000e+06
6.174999999999999822e+00,-1.982000000000000000e+05,1.043000000000000000e+06
6.224999999999999645e+00,-1.995000000000000000e+05,1.043000000000000000e+06
6.275000000000000355e+00,-2.008000000000000000e+05,1.043000000000000000e+06
6.325000000000000178e+00,-2.021000000000000000e+05,1.043000000000000000e+06
6.375000000000000000e+00,-2.034000000000000000e+05,1.043000000000000000e+06
6.424999999999999822e+00,8.374000000000000000e+05,1.043000000000000000e+06
6.474999999999999645e+00,-2.060000000000000000e+05,1.043000000000000000e+06
6.525000000000000355e+00,-2.072000000000000000e+05,1.043000000000000000e+06
6.575000000000000178e+00,-2.085000000000000000e+05,1.043000000000000000e+06
6.625000000000000000e+00,-2.098000000000000000e+05,1.043000000000000000e+06
6.674999999999999822e+00,-2.111000000000000000e+05,1.043000000000000000e+06
6.724999999999999645e+00,-2.124000000000000000e+05,1.043000000000000000e+06
6.775000000000000355e+00,-2.137000000000000000e+05,1.043000000000000000e+06
