type,DIM,position,distance,theta,phi,filter ID,bert ID,ernie ID,snout configuration
WRF,TC000-000,1,52.02628184445273,13.38670929068215,165.57334518350694,13425853,13517449,,HGXD2-H-1200-6.35
WRF,TC000-000,2,52.02628184445273,13.38670929068215,194.42665481649303,13425852,13517450,,HGXD2-H-1200-6.35
WRF,TC000-000,3,52.02628184445273,13.38670929068215,345.57334518350694,13425942,13517451,,HGXD2-H-1200-6.35
WRF,TC000-000,4,52.02628184445273,13.38670929068215,14.426654816493068,13425876,13517452,,HGXD2-H-1200-6.35
WRF,TC090-078,3,51.83173660578625,103.02884192060498,74.59332903161845,13425856,13517459,,HGXD4-HAD-1200-6.35
WRF,TC090-078,4,51.83173660578625,103.02884192060498,81.40667096838155,13425933,13517460,,HGXD4-HAD-1200-6.35
SRF,TC090-124,1,299.32516391250164,87.76636736403816,124.5748791142882,14045604,13517453,,HGXD2-H-1200-12.7
WRF,TC090-124,2,299.32516391250164,87.76636736403816,123.4251208857118,13425889,13517455,,HGXD2-H-1200-12.7
SRF,TC090-124,3,299.32516391250164,92.23363263596184,123.4251208857118,14045391,13517457,,HGXD2-H-1200-12.7
WRF,TC090-124,4,299.32516391250164,92.23363263596184,124.5748791142882,13425894,13517456,,HGXD2-H-1200-12.7
